RowIndex,ReportingUnit,ReportingUnitName,DAUNumber,CoNumber,Name_ID,DAUName,CoName
100,DAU30619,DAU30619,306,19,DAU30619 : Rosamond-Palmdale - Los Angeles,Rosamond-Palmdale,Los Angeles
101,DAU22815,DAU22815,228,15,DAU22815 : Poso Creek - Kern,Poso Creek,Kern
102,DAU09219,DAU09219,92,19,DAU09219 : San Gabriel - Los Angeles,San Gabriel,Los Angeles
103,DAU17234,DAU17234,172,34,DAU17234 : Placer - Sacramento,Placer,Sacramento
104,DAU07342,DAU07342,73,42,DAU07342 : San Antonio - Santa Barbara,San Antonio,Santa Barbara
105,DAU20120,DAU20120,201,20,DAU20120 : Chowchilla  River - Madera,Chowchilla  River,Madera
111,DAU04241,DAU04241,42,41,DAU04241 : San Mateo Coast - San Mateo,San Mateo Coast,San Mateo
114,DAU18239,DAU18239,182,39,DAU18239 : Lodi - San Joaquin,Lodi,San Joaquin
116,DAU08919,DAU08919,89,19,DAU08919 : Coastal - Los Angeles,Coastal,Los Angeles
117,DAU27726,DAU27726,277,26,DAU27726 : Upper Owens - Mono,Upper Owens,Mono
118,DAU30515,DAU30515,305,15,DAU30515 : Mojave - Kern,Mojave,Kern
120,DAU00347,DAU00347,3,47,DAU00347 : Scott Valley - Siskiyou,Scott Valley,Siskiyou
121,DAU14152,DAU14152,141,52,DAU14152 : Redding West - Tehama,Redding West,Tehama
122,DAU05935,DAU05935,59,35,DAU05935 : Watsonville - San Benito,Watsonville,San Benito
125,DAU26546,DAU26546,265,46,DAU26546 : Herlong - Sierra,Herlong,Sierra
126,DAU26115,DAU26115,261,15,DAU26115 : Wheeler Ridge-Maricopa - Kern,Wheeler Ridge-Maricopa,Kern
127,DAU35233,DAU35233,352,33,DAU35233 : Anza - Riverside,Anza,Riverside
129,DAU16604,DAU16604,166,4,DAU16604 : Durham-Sutter - Butte,Durham-Sutter,Butte
130,DAU19920,DAU19920,199,20,DAU19920 : Chowchilla-Fresno Interstream - Madera,Chowchilla-Fresno Interstream,Madera
131,DAU32633,DAU32633,326,33,DAU32633 : Joshua Tree - Riverside,Joshua Tree,Riverside
132,DAU24616,DAU24616,246,16,DAU24616 : South Tulare Lake - Kings,South Tulare Lake,Kings
136,DAU22954,DAU22954,229,54,DAU22954 : Upper Kern River - Tulare,Upper Kern River,Tulare
139,DAU20950,DAU20950,209,50,DAU20950 : Turlock Lake - Stanislaus,Turlock Lake,Stanislaus
140,DAU09830,DAU09830,98,30,DAU09830 : Riverside North - Orange,Riverside North,Orange
141,DAU31736,DAU31736,317,36,DAU31736 : Kelso - San Bernardino,Kelso,San Bernardino
142,DAU24715,DAU24715,247,15,DAU24715 : Kettleman Hills - Kern,Kettleman Hills,Kern
142,DAU24715,DAU24715,247,15,DAU24715 : Kettleman Hills - Kern,Kettleman Hills,Kern
